,business_id,inspection_business_name,city,description,InspectTypeCnt_Consult,InspectTypeCnt_Routine,InspectTypeCnt_Return,ViolationCnt_Blue,ViolationCnt_Red,SafetyGroup
27,PR0086090,ISLANDER MIDDLE SCHOOL,mercer island,School Lunch Program - Risk II,0.0,3.0,0.0,0.0,0.0,High
28,PR0034220,BEBA'S DELI,seattle,Seating 0-12 - Risk Category III,0.0,3.0,0.0,2.0,1.0,Average
29,PR0004578,JAY'S MINI MART,burien,Seating 0-12 - Risk Category I,0.0,2.0,0.0,1.0,1.0,Average
30,PR0085999,MOORE COFFEE,seattle,Seating 0-12 - Risk Category II,0.0,3.0,0.0,1.0,2.0,Average
31,PR0069884,BARTELL DRUGS  #61,seattle,Seating 0-12 - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
32,PR0011245,KFC #80051,kirkland,Seating 51-150 - Risk Category III,0.0,2.0,0.0,0.0,0.0,Average
33,PR0082698,KONG TOFU HOUSE,seattle,Seating 13-50 - Risk Category III,1.0,2.0,0.0,2.0,0.0,Average
34,PR0085686,BREAD AND CIRCUSES DOGS (KC475),seattle,Mobile Food Unit - Risk Category III,0.0,3.0,0.0,0.0,2.0,Average
35,PR0043674,TAQUERIA TONITA,kent,Mobile Food Unit - Risk Category III,0.0,2.0,1.0,0.0,2.0,Average
36,PR0026284,JOELLES CAFE,seattle,Seating 0-12 - Risk Category III,0.0,2.0,0.0,0.0,0.0,Average
37,PR0076488,VICTROLA COFFEE ROASTERS,seattle,Seating 13-50 - Risk Category II,1.0,2.0,0.0,1.0,1.0,Average
38,PR0071344,PANDA EXPRESS #2475,bellevue,Seating 13-50 - Risk Category III,1.0,1.0,0.0,0.0,1.0,Average
39,PR0040005,GOLDEN OLIVE,seattle,Seating 13-50 - Risk Category III,1.0,2.0,0.0,1.0,1.0,Average
40,PR0069966,JASONS COFFEE SHOP,auburn,Seating 0-12 - Risk Category II,1.0,1.0,0.0,1.0,0.0,Average
41,PR0040028,BARNEY AND AL'S CHEVRON,bellevue,Seating 0-12 - Risk Category III,0.0,3.0,0.0,0.0,2.0,Average
42,PR0077536,THE SEATTLE GRIND,seattle,Seating 0-12 - Risk Category II,1.0,0.0,0.0,0.0,0.0,NotInspected
43,PR0066861,"CHEESECAKE FACTORY, THE",bellevue,Seating > 250 - Risk Category III,0.0,2.0,0.0,0.0,2.0,Average
44,PR0082462,"SUSHI KUDASAI, INC.",seattle,Seating 0-12 - Risk Category III,0.0,2.0,0.0,0.0,1.0,Average
45,PR0012529,ASSIMBA RESTAURANT,seattle,Seating 51-150 - Risk Category III,1.0,1.0,0.0,0.0,0.0,Average
46,PR0083798,DOLCETTA ARTISAN SWEETS,seattle,Caterer - Risk Category II,0.0,1.0,0.0,0.0,0.0,Average
47,PR0040235,NORDSTROM,bellevue,Seating 0-12 - Risk Category II,1.0,1.0,0.0,0.0,1.0,Average
48,PR0083339,CENTURY LINK FIELD,seattle,Seating 0-12 - Risk Category III,1.0,2.0,0.0,0.0,1.0,Average
49,PR0020235,BAMBOO RESTAURANT,seattle,Seating 51-150 - Risk Category III,1.0,4.0,1.0,2.0,2.0,Average
50,PR0068662,"KIRKPATRICK, LOCKHART,PRESTON, GATE",seattle,Seating 51-150 - Risk Category III,0.0,2.0,0.0,0.0,1.0,Average
51,PR0003633,PUNG KANG NOODLE PLACE,seattle,Seating 51-150 - Risk Category III,1.0,2.0,0.0,2.0,0.0,Average
52,PR0040008,SUBWAY SANDWICHES #13038,seattle,Seating 13-50 - Risk Category III,1.0,2.0,0.0,0.0,0.0,Average
53,PR0076969,FRED MEYER INC #215,kent,Grocery Store-no seating - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
54,PR0076869,BROADWAY HONOR COFFEE LLC,seattle,Seating 0-12 - Risk Category II,0.0,4.0,0.0,2.0,1.0,Average
55,PR0076967,FRED MEYER INC #215,kent,Meat/Sea Food - Risk Category III,0.0,2.0,0.0,2.0,0.0,Average
56,PR0003328,MIDNIGHT MARKET,seattle,Seating 0-12 - Risk Category II,0.0,2.0,0.0,1.0,1.0,Average
57,PR0067966,KABAB HOUSE,kirkland,Seating 13-50 - Risk Category III,1.0,8.0,1.0,6.0,3.0,Average
58,PR0069637,ROTI CUISINE OF INDIA,seattle,Seating 51-150 - Risk Category III,1.0,3.0,0.0,2.0,1.0,Average
59,PR0086146,"MOUSSE BOUTIQUE, LLC",seattle,Bakery-no seating - Risk Category II,1.0,2.0,0.0,0.0,0.0,Average
60,PR0086190,WESLEY HOMES DES MOINES - BISTRO @ THE TERRACE,des moines,Seating 13-50 - Risk Category III,0.0,2.0,0.0,1.0,0.0,Average
61,PR0086207,ANTOJITOS MICHELISCO,auburn,Seating 13-50 - Risk Category III,0.0,3.0,0.0,2.0,0.0,High
62,PR0025128,KINGS TERIYAKI,kent,Seating 13-50 - Risk Category III,1.0,2.0,0.0,2.0,0.0,Average
63,PR0046435,URBAN SUSHI KITCHEN,seattle,Seating 0-12 - Risk Category III,0.0,1.0,0.0,0.0,1.0,Average
64,PR0086164,RITA'S OF WA STATE,kent,Seating 13-50 - Risk Category II,1.0,1.0,0.0,1.0,0.0,Average
65,PR0054773,PAPA MURPHY'S PIZZA,redmond,Seating 0-12 - Risk Category II,0.0,2.0,0.0,1.0,1.0,Average
66,PR0076492,DOLLAR TREE STORE #2921,kent,Grocery Store-no seating - Risk Category I,0.0,1.0,0.0,1.0,0.0,Average
67,PR0042463,STARBUCKS COFFEE #115,seattle,Seating 0-12 - Risk Category II,0.0,2.0,0.0,0.0,0.0,Average
68,PR0008337,TUP TIM THAI INC,seattle,Seating 51-150 - Risk Category III,0.0,5.0,0.0,0.0,5.0,Low
69,PR0086040,AVANTI MARKETS NW @ ZETRON,redmond,Grocery Store-no seating - Risk Category I,0.0,2.0,0.0,1.0,0.0,Average
70,PR0029168,"CREPE CAFE & WINE BAR, THE",seattle,Seating 13-50 - Risk Category III,1.0,2.0,0.0,0.0,0.0,Average
71,PR0086039,CREWSING INTERNATIONAL,seattle,Mobile Food Unit - Risk Category III,1.0,0.0,0.0,0.0,0.0,NotInspected
72,PR0081406,FLYING APRON,redmond,Seating 13-50 - Risk Category III,0.0,6.0,0.0,3.0,3.0,Average
73,PR0004608,IVAR'S INC.,federal way,Seating 51-150 - Risk Category III,0.0,3.0,0.0,0.0,0.0,High
74,PR0070771,MARTIN LUTHER KING JR ELEMENTARY,seattle,School Lunch Program - Risk II,0.0,3.0,0.0,1.0,0.0,High
75,PR0081618,SILKROAD NOODLE BAR,seattle,Seating 13-50 - Risk Category III,1.0,27.0,6.0,15.0,16.0,VeryLow
76,PR0049541,SAFEWAY INC #1551,seattle,Seating 0-12 - Risk Category III,0.0,2.0,0.0,0.0,0.0,Average
77,PR0045021,PORTAGE BAY CAFE,seattle,Seating 13-50 - Risk Category III,0.0,4.0,0.0,0.0,3.0,Average
78,PR0086608,TIANTIAN GOURMET,seattle,Caterer - Risk Category III,1.0,1.0,0.0,0.0,1.0,Average
79,PR0084627,POTBELLY SANDWICH SHOP,bothell,Seating 51-150 - Risk Category III,1.0,5.0,0.0,1.0,4.0,Average
80,PR0021694,MT SI SHELL,north bend,Grocery Store-no seating - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
81,PR0069072,SUBWAY,kirkland,Seating 13-50 - Risk Category III,1.0,4.0,0.0,1.0,2.0,Average
82,PR0077385,HOUGHTON BEACH BITES,kirkland,Seating 13-50 - Risk Category III,0.0,1.0,0.0,0.0,0.0,Average
83,PR0086358,SUR LA TABLE,seattle,Caterer - Risk Category III,1.0,2.0,0.0,0.0,0.0,Average
84,PR0085935,CANTEEN VENDING @ ESTERLINE,kent,Grocery Store-no seating - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
85,PR0085920,OCULUS VR. LLC,redmond,Seating > 250 - Risk Category III,0.0,6.0,1.0,3.0,3.0,Average
86,PR0081683,FROYO FRESH,seattle,Seating 0-12 - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
87,PR0002651,CRESCENT TAVERN,seattle,Seating 13-50 - Risk Category I,0.0,1.0,0.0,0.0,1.0,Average
88,PR0069449,REDMOND MARRIOTT - TOWN CENTER,redmond,Seating > 250 - Risk Category III,0.0,15.0,3.0,10.0,8.0,Low
89,PR0076111,SUBWAY,bellevue,Seating 13-50 - Risk Category III,0.0,3.0,0.0,0.0,1.0,Average
90,PR0049543,SAFEWAY INC #1551,seattle,Bakery-no seating - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
91,PR0047336,SEATTLE BEST TERIYAKI & PHO CITY,seattle,Seating 51-150 - Risk Category III,1.0,4.0,1.0,1.0,3.0,Average
92,PR0076605,TOUGO COFFEE,seattle,Seating 13-50 - Risk Category II,2.0,1.0,0.0,0.0,0.0,Average
93,PR0086071,AVANTI MARKETS NW @ TMOBILE NEWPORT 5,bellevue,Grocery Store-no seating - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
94,PR0086075,AVANTI MARKETS NW @ UNFI,auburn,Grocery Store-no seating - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
95,PR0086250,BANGKOK 99 (KC497),seattle,Mobile Food Unit - Risk Category III,2.0,5.0,3.0,2.0,5.0,Low
96,PR0080664,SUBWAY # 27937,auburn,Seating 13-50 - Risk Category III,1.0,2.0,0.0,0.0,1.0,Average
97,PR0086265,COSTCO WHOLESALE #1225,redmond,Seating 0-12 - Risk Category III,0.0,2.0,0.0,0.0,0.0,Average
98,PR0086322,GOPOKE,seattle,Seating 13-50 - Risk Category III,1.0,2.0,0.0,0.0,0.0,Average
99,PR0085691,VIET WAH ASIAN FOOD MARKET,renton,Grocery Store-no seating - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
100,PR0067767,STAN'S BAR-B-Q-LLC,issaquah,Seating 51-150 - Risk Category III,0.0,2.0,0.0,2.0,0.0,Average
101,PR0076767,PUERTO VALLARTA RESTAURANT,federal way,Seating 151-250 - Risk Category III,1.0,2.0,0.0,1.0,1.0,Average
102,PR0066441,BUCKLEY'S ON QUEEN ANNE,seattle,Seating 51-150 - Risk Category III,0.0,5.0,0.0,3.0,2.0,Average
103,PR0085896,WHITE SWAN PUBLIC HOUSE,seattle,Seating 51-150 - Risk Category III,2.0,1.0,0.0,0.0,0.0,Average
104,PR0020232,TOULOUSE PETIT KITCHEN & LOUNGE,seattle,Seating 151-250 - Risk Category III,2.0,5.0,2.0,1.0,6.0,Low
105,PR0002321,FORTUNE GARDEN RESTAURANT,seattle,Seating 13-50 - Risk Category III,0.0,6.0,0.0,3.0,3.0,Average
106,PR0086373,JERSEY MIKE'S SUBS - JUANITA VILLAGE,kirkland,Seating 13-50 - Risk Category III,1.0,2.0,0.0,1.0,1.0,Average
107,PR0086204,TIMBER RIDGE ELEMENTARY,snoqualmie,School Lunch Program - Risk II,0.0,4.0,0.0,1.0,1.0,Average
108,PR0069187,GREEN GINGER RESTAURANT,vashon island,Seating 51-150 - Risk Category III,2.0,1.0,0.0,1.0,0.0,Average
109,PR0086236,TWINS MARKET,seattle,Bakery-no seating - Risk Category II,1.0,2.0,0.0,0.0,0.0,Average
110,PR0086472,BAR HOUSE LLC,seattle,Seating 13-50 - Risk Category II,0.0,1.0,0.0,0.0,0.0,Average
111,PR0082448,"BARREL THIEF, THE",seattle,Seating 51-150 - Risk Category III,0.0,2.0,0.0,0.0,0.0,Average
112,PR0010773,ORANGE KING,seattle,Seating 13-50 - Risk Category III,1.0,7.0,2.0,1.0,7.0,Low
113,PR0052616,BLACK PEARL,shoreline,Seating 51-150 - Risk Category III,0.0,22.0,5.0,17.0,8.0,Low
114,PR0084325,SEWARD PARK MARKET,seattle,Seating 0-12 - Risk Category III,1.0,2.0,0.0,2.0,0.0,Average
115,PR0044239,GRACENE'S CUPCAKE BOUTIQUE,black diamond,Seating 0-12 - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
116,PR0076337,HOUSE TERIYAKI WOK,federal way,Seating 13-50 - Risk Category III,1.0,1.0,0.0,1.0,0.0,Average
117,PR0026382,SAFEWAY INC #1186,des moines,Bakery-no seating - Risk Category II,1.0,1.0,0.0,1.0,0.0,Average
118,PR0014484,SNOQUALMIE SUPERMARKET,snoqualmie,Grocery Store-no seating - Risk Category I,0.0,2.0,0.0,1.0,0.0,Average
119,PR0076236,QUIZNOS SUB #12356,federal way,Seating 13-50 - Risk Category III,1.0,1.0,0.0,0.0,0.0,Average
120,PR0086214,CROSSCO COFFEE COMPANY,renton,Seating 0-12 - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
121,PR0072047,SAFEWAY INC #1186,des moines,Seating 0-12 - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
122,PR0080919,SUBWAY,seattle,Seating 13-50 - Risk Category III,1.0,2.0,0.0,0.0,1.0,Average
123,PR0046217,RAIN CITY BURGERS,seattle,Seating 13-50 - Risk Category III,2.0,2.0,0.0,0.0,1.0,Average
124,PR0053039,SAFECO FIELD,seattle,Seating > 250 - Risk Category III,0.0,2.0,0.0,0.0,0.0,Average
125,PR0086179,FINALE-SIGNATURE CAKES BY LYDIA,black diamond,Caterer - Risk Category II,1.0,2.0,0.0,0.0,0.0,Average
126,PR0017624,BURGER KING #6040,federal way,Seating 51-150 - Risk Category III,1.0,2.0,0.0,1.0,1.0,Average
127,PR0040217,QFC #840,issaquah,Bakery-no seating - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
128,PR0010845,HAK SAN TERIYAKI,federal way,Seating 13-50 - Risk Category III,1.0,4.0,0.0,3.0,1.0,Average
129,PR0085934,CANTEEN VENDING,kent,Grocery Store-no seating - Risk Category I,0.0,3.0,0.0,0.0,0.0,High
130,PR0081359,BENGAL TIGER EAST INDIAN CUISINE,seattle,Seating 51-150 - Risk Category III,2.0,4.0,0.0,1.0,2.0,Average
131,PR0034024,PHO BA,seattle,Seating 13-50 - Risk Category III,2.0,9.0,1.0,3.0,6.0,Low
132,PR0069325,METROPOLITAN MARKET  #156,seattle,Meat/Sea Food - Risk Category III,1.0,2.0,0.0,0.0,0.0,Average
133,PR0077180,ZEEKS PIZZA INC,issaquah,Seating 51-150 - Risk Category III,0.0,9.0,1.0,7.0,3.0,Average
134,PR0082696,YUMMY CREPE,federal way,Seating 0-12 - Risk Category II,1.0,3.0,0.0,1.0,2.0,Average
135,PR0043558,ENUMCLAW GROCERY OUTLET,enumclaw,Grocery Store-no seating - Risk Category II,0.0,1.0,0.0,0.0,0.0,Average
136,PR0083759,SAFEWAY STORE #1528,north bend,Seating 13-50 - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
137,PR0046908,SAFEWAY STORE #1528,north bend,Bakery-no seating - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
138,PR0086125,ARBOR HEIGHTS ELEMENTARY SCHOOL,seattle,School Lunch Program - Risk II,0.0,2.0,0.0,0.0,1.0,Average
139,PR0082259,VIVI PIZZERIA,woodinville,Seating 51-150 - Risk Category III,2.0,1.0,0.0,0.0,1.0,Average
140,PR0070117,PIROSHKI@SWEDISH CANCER INST,seattle,Seating 0-12 - Risk Category III,1.0,2.0,0.0,0.0,0.0,Average
141,PR0025416,BLACK DIAMOND COMMUNITY CENTER,black diamond,Non-Profit Institution - Risk Category III,1.0,2.0,0.0,0.0,0.0,Average
142,PR0086053,AVANTI MARKETS NW @ TAYLOR FARMS,kent,Grocery Store-no seating - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
143,PR0054581,MOEIDA ASIAN BISTRO,woodinville,Seating 13-50 - Risk Category III,2.0,1.0,0.0,1.0,0.0,Average
144,PR0083434,Bevmo!,issaquah,Seating 0-12 - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
145,PR0047662,MCDONALD'S  4TH AVE,renton,Seating 51-150 - Risk Category III,2.0,2.0,1.0,0.0,2.0,Average
146,PR0086141,SO SO GOOD LLC,seattle,Caterer - Risk Category III,2.0,2.0,0.0,0.0,0.0,Average
147,PR0073443,CHOCOLATI CAFE,seattle,Seating 13-50 - Risk Category I,0.0,2.0,2.0,0.0,3.0,Average
148,PR0066628,SAFECO FIELD,seattle,Seating 0-12 - Risk Category III,0.0,2.0,0.0,0.0,0.0,Average
149,PR0082936,SAFECO FIELD,seattle,Mobile Food Unit - Risk Category III,0.0,2.0,0.0,1.0,0.0,Average
150,PR0050387,CANTON WONTON HOUSE,seattle,Seating 13-50 - Risk Category III,1.0,5.0,0.0,2.0,2.0,Average
151,PR0081763,CACTUS,seattle,Seating 151-250 - Risk Category III,1.0,2.0,0.0,1.0,1.0,Average
152,PR0081445,BA BAR,seattle,Seating 13-50 - Risk Category III,1.0,7.0,1.0,0.0,7.0,Low
153,PR0004385,PHO LIU RESTAURANT,burien,Seating 51-150 - Risk Category III,2.0,5.0,0.0,2.0,3.0,Average
154,PR0004356,BISON CREEK PIZZA,burien,Seating 51-150 - Risk Category III,0.0,1.0,0.0,0.0,0.0,Average
155,PR0080511,VALERIO'S TROPICAL BAKERSHOP,tukwila,Bakery-no seating - Risk Category III,2.0,5.0,3.0,0.0,6.0,Low
156,PR0070110,MAY RESTAURANT AND LOUNGE,seattle,Seating 51-150 - Risk Category III,1.0,2.0,0.0,0.0,1.0,Average
157,PR0086176,"PANTRY, THE",seattle,Seating 0-12 - Risk Category III,0.0,1.0,0.0,0.0,0.0,Average
158,PR0083602,CINNABON,auburn,Seating 0-12 - Risk Category II,1.0,0.0,0.0,0.0,0.0,NotInspected
159,PR0053026,SAFECO FIELD,seattle,Seating 0-12 - Risk Category III,1.0,2.0,0.0,0.0,0.0,Average
160,PR0085797,Grocery Outlet #1152,kent,Grocery Store-no seating - Risk Category II,2.0,1.0,0.0,0.0,0.0,Average
161,PR0026083,CONTOUR,seattle,Seating 51-150 - Risk Category III,0.0,3.0,0.0,0.0,2.0,Average
162,PR0085910,AUBURN PARKS ARTS + RECREATION,auburn,Non-Profit Institution - Risk Category III,0.0,3.0,0.0,0.0,0.0,High
163,PR0003439,ORIGINAL PHILLY'S,seattle,Seating 13-50 - Risk Category III,0.0,7.0,1.0,4.0,3.0,Average
164,PR0085692,VIET WAH ASIAN FOOD MARKET,renton,Seating 0-12 - Risk Category III,1.0,2.0,0.0,0.0,2.0,Average
165,PR0051716,NORM'S EATERY & ALEHOUSE,seattle,Seating 51-150 - Risk Category III,0.0,3.0,0.0,1.0,2.0,Average
166,PR0071217,WOODHOUSE FAMILY CELLARS,woodinville,Seating 0-12 - Risk Category III,1.0,1.0,0.0,0.0,0.0,Average
167,PR0027580,MARK TWAIN ELEMENTARY SCHOOL,federal way,School Lunch Program - Risk II,0.0,2.0,0.0,0.0,0.0,Average
168,PR0085965,CANTEEN VENDING @ ORION,auburn,Grocery Store-no seating - Risk Category I,0.0,2.0,0.0,1.0,0.0,Average
169,PR0054910,GREAT AMERICAN BAGEL,sea tac,Seating 13-50 - Risk Category III,1.0,2.0,0.0,0.0,2.0,Average
170,PR0011349,IMPERIAL PALACE,federal way,Seating 13-50 - Risk Category III,1.0,1.0,0.0,0.0,1.0,Average
171,PR0082648,FRED MEYER #122,seattle,Seating 0-12 - Risk Category II,0.0,3.0,0.0,0.0,2.0,Average
172,PR0085981,CANTEEN VENDING @ ALASKA CORPORATE,seatac,Grocery Store-no seating - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
173,PR0085770,MILLIONAIRE HOT DOGS (KC457),seattle,Mobile Food Unit - Risk Category II,0.0,0.0,1.0,0.0,0.0,NotInspected
174,PR0023491,SEATTLE TENNIS CLUB,seattle,Seating 0-12 - Risk Category III,0.0,1.0,0.0,1.0,0.0,Average
175,PR0080570,SMALL CAKES,issaquah,Seating 0-12 - Risk Category II,1.0,1.0,0.0,1.0,0.0,Average
176,PR0006187,ROYAL PALACE,kirkland,Seating 51-150 - Risk Category III,0.0,13.0,0.0,10.0,3.0,Average
177,PR0072161,RIDGE SUPERMARKET,snoqualmie,Meat/Sea Food - Risk Category III,0.0,3.0,0.0,1.0,0.0,High
178,PR0069680,HIMITSU TERIYAKI,maple valley,Seating 13-50 - Risk Category III,1.0,2.0,0.0,1.0,0.0,Average
179,PR0086095,SEA WOLF,seattle,Seating 13-50 - Risk Category III,0.0,2.0,0.0,0.0,0.0,Average
180,PR0054727,CHAMPION GOURMET FOOD COMPANY,kent,Seating 0-12 - Risk Category III,2.0,0.0,0.0,0.0,0.0,NotInspected
181,PR0028548,UNION 76 SHORELINE,shoreline,Seating 0-12 - Risk Category III,1.0,2.0,0.0,0.0,1.0,Average
182,PR0081469,Safeway #2932 - Grocery,seattle,Meat/Sea Food - Risk Category III,1.0,2.0,0.0,0.0,0.0,Average
183,PR0065391,CEDAR RIVER MONTESSORI SCHOOL,renton,Non-Profit Institution - Risk Category I,0.0,1.0,0.0,1.0,0.0,Average
184,PR0085693,VIET WAH ASIAN FOOD MARKET,renton,Meat/Sea Food - Risk Category III,1.0,1.0,0.0,0.0,1.0,Average
185,PR0005957,TAQUERIA EL ASADERO,kent,Seating 51-150 - Risk Category III,1.0,4.0,0.0,3.0,1.0,Average
186,PR0084213,RPM LLC,seattle,Seating 13-50 - Risk Category III,1.0,1.0,0.0,0.0,1.0,Average
187,PR0015373,TYTY MARKET,seattle,Grocery Store-no seating - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
188,PR0085963,CANTEEN VENDING @ BOEING 17-62,algona,Grocery Store-no seating - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
189,PR0056797,CLANCY'S COFFEE,enumclaw,Seating 0-12 - Risk Category I,0.0,1.0,0.0,0.0,0.0,Average
190,PR0077830,BRAGANZA TEA,seattle,Seating 0-12 - Risk Category II,1.0,1.0,0.0,0.0,0.0,Average
191,PR0086181,TRADER JOE'S #162,bellevue,Grocery Store-no seating - Risk Category II,0.0,2.0,0.0,0.0,1.0,Average
192,PR0086261,COSTCO WHOLESALE #1225,redmond,Grocery Store-no seating - Risk Category I,0.0,2.0,0.0,0.0,0.0,Average
193,PR0018098,TAQUERIA EL GALLO,redmond,Seating 13-50 - Risk Category III,0.0,5.0,2.0,6.0,1.0,Average
194,PR0086093,AFC SUSHI @ SAFEWAY #3319,renton,Seating 0-12 - Risk Category III,1.0,2.0,0.0,0.0,1.0,Average
195,PR0071374,HEAVEN SENT FRIED CHICKEN,seattle,Seating 0-12 - Risk Category III,0.0,2.0,0.0,0.0,2.0,Average
196,PR0085970,VERVE BOWLS,seattle,Seating 13-50 - Risk Category II,1.0,2.0,0.0,1.0,1.0,Average
197,PR0086287,HAMPTON INN & SUITES - WOODINVILLE,woodinville,Seating 13-50 - Risk Category III,1.0,1.0,0.0,0.0,1.0,Average
198,PR0071890,"CREEKSIDE, THE",woodinville,Seating 51-150 - Risk Category III,2.0,3.0,0.0,0.0,1.0,Average
199,PR0057251,ALKI HOMEFRONT SMOOTHIES & ESPRESSO,seattle,Seating 13-50 - Risk Category III,0.0,6.0,0.0,3.0,3.0,Average
200,PR0071280,ANTHONYS @ SEATAC,sea tac,Seating > 250 - Risk Category III,1.0,3.0,0.0,1.0,2.0,Average
201,PR0049335,SAFEWAY STORE #1528,north bend,Meat/Sea Food - Risk Category III,0.0,3.0,0.0,0.0,0.0,High
202,PR0056287,YUMMY PHO,redmond,Seating 13-50 - Risk Category III,0.0,2.0,1.0,0.0,3.0,Average
203,PR0085520,SUSHI CHINOISE,bothell,Seating 51-150 - Risk Category III,1.0,10.0,1.0,2.0,9.0,Low
204,PR0077685,D'LARA MEDITERRANEAN GRILL,auburn,Seating 51-150 - Risk Category III,0.0,4.0,1.0,1.0,3.0,Average
205,PR0076176,WOLFGANG PUCKS,seatac,Seating 51-150 - Risk Category III,1.0,1.0,0.0,0.0,1.0,Average
206,PR0067529,RED ROBIN AMERICA'S GOURMET BURGERS,bellevue,Seating > 250 - Risk Category III,1.0,2.0,0.0,0.0,2.0,Average
207,PR0056738,LYNN'S BISTRO,kirkland,Seating 13-50 - Risk Category III,0.0,1.0,0.0,0.0,0.0,Average
208,PR0043645,SUMMIT PUBLIC HOUSE,seattle,Seating 13-50 - Risk Category III,1.0,3.0,0.0,2.0,0.0,High
